,id,title,freq,rating,year,votes,runtime,type,certification,action,comedy,horror,thriller,adventure,mystery,drama,history,sci_fi,crime,romance,music,western,war,biography,fantasy,family,cast_summary,writers_summary,directors_summary,adj_freq,adj_rating,adj_year,adj_votes,adj_runtime,adj_cast_summary,adj_writers_summary,adj_directors_summary,adj_action,adj_comedy,adj_horror,adj_thriller,adj_adventure,adj_mystery,adj_drama,adj_history,adj_sci_fi,adj_crime,adj_romance,adj_music,adj_western,adj_war,adj_biography,adj_fantasy,adj_family,adj_type,adj_certification
543,tt0369610,Jurassic World,34,7.0,2015,432015.0,7440.0,feature,PG-13,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,Chris Pratt|Bryce Dallas Howard|Ty Simpkins|Judy Greer,Rick Jaffa|Amanda Silver,Colin Trevorrow,0.125506072874,0.707317073171,1.0,0.956555082041,0.797202797203,0.0,0.0,0.0,-0.772727272727,-0.35,0.0681818181818,0.212121212121,0.586363636364,0.119696969697,-0.486363636364,0.0681818181818,-0.798484848485,0.125757575758,0.163636363636,0.0318181818182,0.019696969697,0.0469696969697,0.0863636363636,-0.269696969697,-0.278787878788,1.0,0.0
433,tt1979388,The Good Dinosaur,33,6.8,2015,69893.0,5580.0,feature,PG,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,Jeffrey Wright|Frances McDormand|Maleah Nipay-Padilla|Ryan Teeple,Bob Peterson|Peter Sohn,Peter Sohn,0.121457489879,0.658536585366,1.0,0.777187355703,0.986013986014,0.0,0.0,0.0,0.227272727273,0.65,0.0681818181818,0.212121212121,0.586363636364,0.119696969697,0.513636363636,-0.931818181818,0.201515151515,0.125757575758,0.163636363636,0.0318181818182,0.019696969697,0.0469696969697,0.0863636363636,0.730303030303,0.721212121212,1.0,1.0
337,tt2379713,Spectre,33,6.8,2015,290191.0,8880.0,feature,PG-13,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Daniel Craig|Christoph Waltz|Léa Seydoux|Ralph Fiennes,John Logan|Neal Purvis,Sam Mendes,0.121457489879,0.658536585366,1.0,0.939165938749,0.629370629371,0.0,0.0,0.0,-0.772727272727,-0.35,0.0681818181818,-0.787878787879,0.586363636364,0.119696969697,-0.486363636364,0.0681818181818,0.201515151515,0.125757575758,0.163636363636,0.0318181818182,0.019696969697,0.0469696969697,0.0863636363636,-0.269696969697,-0.278787878788,1.0,0.0
531,tt0892769,How to Train Your Dragon,32,8.2,2010,499392.0,5880.0,feature,PG,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,Jay Baruchel|Gerard Butler|Christopher Mintz-Plasse|Craig Ferguson,William Davies|Dean DeBlois,Dean DeBlois|Chris Sanders,0.117408906883,1.0,0.943820224719,0.907014773051,0.979020979021,0.0,0.0,0.0,-0.772727272727,0.65,0.0681818181818,0.212121212121,0.586363636364,0.119696969697,-0.486363636364,0.0681818181818,0.201515151515,0.125757575758,0.163636363636,0.0318181818182,0.019696969697,0.0469696969697,0.0863636363636,0.730303030303,0.721212121212,1.0,1.0
429,tt1951266,The Hunger Games: Mockingjay - Part 2,31,6.6,2015,181804.0,8220.0,feature,PG-13,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,Jennifer Lawrence|Josh Hutcherson|Liam Hemsworth|Woody Harrelson,Peter Craig|Danny Strong,Francis Lawrence,0.113360323887,0.609756097561,1.0,0.859472193547,0.706293706294,0.0,0.0,0.0,-0.772727272727,-0.35,0.0681818181818,-0.787878787879,0.586363636364,0.119696969697,-0.486363636364,0.0681818181818,-0.798484848485,0.125757575758,0.163636363636,0.0318181818182,0.019696969697,0.0469696969697,0.0863636363636,-0.269696969697,-0.278787878788,1.0,0.0
173,tt0110357,The Lion King,31,8.5,1994,664283.0,5340.0,feature,G,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,Matthew Broderick|Jeremy Irons|James Earl Jones|Whoopi Goldberg,Irene Mecchi|Jonathan Roberts,Roger Allers|Rob Minkoff,0.113360323887,0.926829268293,0.76404494382,0.785775313152,0.958041958042,0.0,0.0,0.0,0.227272727273,-0.35,0.0681818181818,0.212121212121,0.586363636364,0.119696969697,0.513636363636,0.0681818181818,0.201515151515,0.125757575758,0.163636363636,0.0318181818182,0.019696969697,0.0469696969697,0.0863636363636,-0.269696969697,0.721212121212,1.0,0.0
9,tt2381249,Mission: Impossible - Rogue Nation,30,7.4,2015,243483.0,7860.0,feature,PG-13,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Tom Cruise|Rebecca Ferguson|Jeremy Renner|Simon Pegg,Christopher McQuarrie|Christopher McQuarrie,Christopher McQuarrie,0.109311740891,0.80487804878,1.0,0.904822932199,0.748251748252,0.0,0.0,0.0,-0.772727272727,-0.35,0.0681818181818,-0.787878787879,0.586363636364,0.119696969697,-0.486363636364,0.0681818181818,0.201515151515,0.125757575758,0.163636363636,0.0318181818182,0.019696969697,0.0469696969697,0.0863636363636,-0.269696969697,-0.278787878788,1.0,0.0
7,tt0398286,Tangled,30,7.8,2010,302189.0,6000.0,feature,PG,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,Mandy Moore|Zachary Levi|Donna Murphy|Ron Perlman,Dan Fogelman|Jacob Grimm,Nathan Greno|Byron Howard,0.109311740891,0.90243902439,0.943820224719,0.947987712162,0.965034965035,0.0,0.0,0.0,0.227272727273,0.65,0.0681818181818,0.212121212121,0.586363636364,0.119696969697,-0.486363636364,0.0681818181818,0.201515151515,0.125757575758,-0.836363636364,0.0318181818182,0.019696969697,0.0469696969697,0.0863636363636,0.730303030303,0.721212121212,1.0,1.0
567,tt0816692,Interstellar,30,8.6,2014,970339.0,10140.0,feature,PG-13,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,Matthew McConaughey|Anne Hathaway|Jessica Chastain|Mackenzie Foy,Jonathan Nolan|Christopher Nolan,Christopher Nolan,0.109311740891,0.90243902439,0.988764044944,0.560741417189,0.482517482517,0.0,0.0,0.0,0.227272727273,-0.35,0.0681818181818,0.212121212121,0.586363636364,0.119696969697,0.513636363636,0.0681818181818,-0.798484848485,0.125757575758,0.163636363636,0.0318181818182,0.019696969697,0.0469696969697,0.0863636363636,-0.269696969697,-0.278787878788,1.0,0.0
458,tt2582496,Me and Earl and the Dying Girl,29,7.8,2015,83511.0,6300.0,feature,PG-13,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Thomas Mann|RJ Cyler|Olivia Cooke|Nick Offerman,Jesse Andrews|Jesse Andrews,Alfonso Gomez-Rejon,0.105263157895,0.90243902439,1.0,0.78720026705,0.93006993007,0.0,0.0,0.0,0.227272727273,0.65,0.0681818181818,0.212121212121,-0.413636363636,0.119696969697,0.513636363636,0.0681818181818,0.201515151515,0.125757575758,0.163636363636,0.0318181818182,0.019696969697,0.0469696969697,0.0863636363636,-0.269696969697,-0.278787878788,1.0,0.0
