rating	family	certification	fantasy	writers_summary	year	id	biography	votes	directors_summary	cast_summary	title	sci_fi	crime	romance	music	comedy	type	war	horror	adventure	freq	thriller	mystery	creators	drama	history	action	runtime	western
7.8	0	PG-13	0	Jesse Andrews|Jesse Andrews	2015	tt2582496	0	83511	Alfonso Gomez-Rejon	Thomas Mann|RJ Cyler|Olivia Cooke|Nick Offerman	Me and Earl and the Dying Girl	0	0	0	0	1	feature	0	0	0	29	0	0	[]	1	0	0	6300	0
8.6	0	TV-MA	0	Robert Rodat	1998	tt0120815	0	905586	Steven Spielberg	Tom Hanks|Matt Damon|Tom Sizemore|Edward Burns	Saving Private Ryan	0	0	0	0	0	feature	1	0	0	6	0	0	[]	1	0	1	10140	0
7	0	R	0	David Leslie Johnson|Alex Mace	2009	tt1148204	0	146495	Jaume Collet-Serra	Vera Farmiga|Peter Sarsgaard|Isabelle Fuhrman|CCH Pounder	Orphan	0	0	0	0	0	feature	0	1	0	5	1	1	[]	0	0	0	7380	0
6.7	0	R	0	Jeremy Garelick|Jay Lavender	2015	tt0884732	0	55484	Jeremy Garelick	Kevin Hart|Josh Gad|Kaley Cuoco|Affion Crockett	The Wedding Ringer	0	0	0	0	1	feature	0	0	0	5	0	0	[]	0	0	0	6060	0
6.2	1	PG	0	Jerry Seinfeld|Spike Feresten	2007	tt0389790	0	108200	Steve Hickner|Simon J. Smith	Jerry Seinfeld|Renée Zellweger|Matthew Broderick|Patrick Warburton	Bee Movie	0	0	0	0	1	feature	0	0	1	6	0	0	[]	0	0	0	5460	0
8.5	0	R	0	Ronald Harwood|Wladyslaw Szpilman	2002	tt0253474	1	514117	Roman Polanski	Adrien Brody|Thomas Kretschmann|Frank Finlay|Emilia Fox	The Pianist	0	0	0	0	0	feature	1	0	0	4	0	0	[]	1	1	0	9000	0
7.1	0	R	0	P.J. Hogan|Jocelyn Moorhouse	2015	tt2910904	0	26336	Jocelyn Moorhouse	Kate Winslet|Judy Davis|Liam Hemsworth|Hugo Weaving	The Dressmaker	0	0	0	0	0	feature	0	0	0	3	0	0	[]	1	0	0	7140	0
8.9	0	R	0	Quentin Tarantino|Roger Avary	1994	tt0110912	0	1357154	Quentin Tarantino	John Travolta|Uma Thurman|Samuel L. Jackson|Bruce Willis	Pulp Fiction	0	1	0	0	0	feature	0	0	0	9	0	0	[]	1	0	0	9240	0
7.3	1	Approved	1	Erdman Penner|Charles Perrault	1959	tt0053285	0	102526	Clyde Geronimi	Mary Costa|Bill Shirley|Eleanor Audley|Verna Felton	Sleeping Beauty	0	0	1	0	0	feature	0	0	0	4	0	0	[]	0	0	0	4500	0
7.6	1	TV-14	0	Mamoru Hosoda|Satoko Okudera	2009	tt1474276	0	17499	Mamoru Hosoda	Ryûnosuke Kamiki|Nanami Sakuraba|Mitsuki Tanimura|Takahiro Yokokawa	Summer Wars	1	0	1	0	1	feature	0	0	0	3	0	0	[]	0	0	1	6840	0
6.3	0	R	0	Walter Campbell|Jonathan Glazer	2013	tt1441395	0	88802	Jonathan Glazer	Scarlett Johansson|Jeremy McWilliams|Lynsey Taylor Mackay|Dougie McConnell	Under the Skin	1	0	0	0	0	feature	0	1	0	3	1	0	[]	1	0	0	6480	0
7.8	1	PG	1	Irena Brignull|Bob Persichetti	2015	tt1754656	0	34228	Mark Osborne	Jeff Bridges|Mackenzie Foy|Rachel McAdams|Marion Cotillard	The Little Prince	0	0	0	0	0	feature	0	0	1	21	0	0	[]	1	0	0	6480	0
8.6	0	R	0	Christopher McQuarrie	1995	tt0114814	0	759524	Bryan Singer	Kevin Spacey|Gabriel Byrne|Chazz Palminteri|Stephen Baldwin	The Usual Suspects	0	1	0	0	0	feature	0	0	0	7	1	1	[]	1	0	0	6360	0
