rating	family	certification	fantasy	writers_summary	year	id	biography	votes	directors_summary	cast_summary	title	sci_fi	crime	romance	music	comedy	type	war	horror	adventure	freq	thriller	mystery	creators	drama	history	action	runtime	western
7.8	0	PG-13	0	[<Person: u'Wes Anderson' (u'nm0027572')>, <Person: u'Roman Coppola' (u'nm0178910')>]	2012	tt1748122	0	243280	[<Person: u'Wes Anderson' (u'nm0027572')>]	[<Person: u'Jared Gilman' (u'nm4442068')>, <Person: u'Kara Hayward' (u'nm4442319')>, <Person: u'Bruce Willis' (u'nm0000246')>, <Person: u'Bill Murray' (u'nm0000195')>]	Moonrise Kingdom	0	0	1	0	1	feature	0	0	1	19	0	0	[]	1	0	0	5640	0
8.1	0	R	0	[<Person: u'Stefan Zweig' (u'nm0959003')>, <Person: u'Wes Anderson' (u'nm0027572')>]	2014	tt2278388	0	494710	[<Person: u'Wes Anderson' (u'nm0027572')>]	[<Person: u'Ralph Fiennes' (u'nm0000146')>, <Person: u'F. Murray Abraham' (u'nm0000719')>, <Person: u'Mathieu Amalric' (u'nm0023832')>, <Person: u'Adrien Brody' (u'nm0004778')>]	The Grand Budapest Hotel	0	0	0	0	1	feature	0	0	1	26	0	0	[]	1	0	0	5940	0
8.7	0	R	0	[<Person: u'Nicholas Pileggi' (u'nm0683380')>, <Person: u'Nicholas Pileggi' (u'nm0683380')>]	1990	tt0099685	1	745987	[<Person: u'Martin Scorsese' (u'nm0000217')>]	[<Person: u'Robert De Niro' (u'nm0000134')>, <Person: u'Ray Liotta' (u'nm0000501')>, <Person: u'Joe Pesci' (u'nm0000582')>, <Person: u'Lorraine Bracco' (u'nm0000966')>]	Goodfellas	0	1	0	0	0	feature	0	0	0	56	0	0	[]	1	0	0	8760	0
8.9	0	Approved	0	[<Person: u'Luciano Vincenzoni' (u'nm0898812')>, <Person: u'Sergio Leone' (u'nm0001466')>]	1966	tt0060196	0	514887	[<Person: u'Sergio Leone' (u'nm0001466')>]	[<Person: u'Clint Eastwood' (u'nm0000142')>, <Person: u'Eli Wallach' (u'nm0908919')>, <Person: u'Lee Van Cleef' (u'nm0001812')>, <Person: u'Aldo Giuffr\xe8' (u'nm0321294')>]	The Good, the Bad and the Ugly	0	0	0	0	0	feature	0	0	0	28	0	0	[]	0	0	0	9660	1
7.7	0	TV-14	0	[<Person: u'Rhett Reese' (u'nm1014201')>, <Person: u'Paul Wernick' (u'nm1116660')>]	2009	tt1156398	0	394476	[<Person: u'Ruben Fleischer' (u'nm0281508')>]	[<Person: u'Jesse Eisenberg' (u'nm0251986')>, <Person: u'Emma Stone' (u'nm1297015')>, <Person: u'Woody Harrelson' (u'nm0000437')>, <Person: u'Abigail Breslin' (u'nm1113550')>]	Zombieland	1	0	0	0	1	feature	0	1	1	7	0	0	[]	0	0	0	5280	0
9	0	R	0	[<Person: u'Francis Ford Coppola' (u'nm0000338')>, <Person: u'Mario Puzo' (u'nm0701374')>]	1974	tt0071562	0	810622	[<Person: u'Francis Ford Coppola' (u'nm0000338')>]	[<Person: u'Al Pacino' (u'nm0000199')>, <Person: u'Robert De Niro' (u'nm0000134')>, <Person: u'Robert Duvall' (u'nm0000380')>, <Person: u'Diane Keaton' (u'nm0000473')>]	The Godfather: Part II	0	1	0	0	0	feature	0	0	0	35	0	0	[]	1	0	0	12120	0
8	0	R	0	[<Person: u'Frank Miller' (u'nm0588340')>]	2005	tt0401792	0	667151	[<Person: u'Frank Miller' (u'nm0588340')>, <Person: u'Robert Rodriguez' (u'nm0001675')>]	[<Person: u'Mickey Rourke' (u'nm0000620')>, <Person: u'Clive Owen' (u'nm0654110')>, <Person: u'Bruce Willis' (u'nm0000246')>, <Person: u'Jessica Alba' (u'nm0004695')>]	Sin City	0	1	0	0	0	feature	0	0	0	15	1	0	[]	0	0	0	8820	0
6.6	0	Not Rated	0	[<Person: u'Lars von Trier' (u'nm0001885')>]	2009	tt0870984	0	90364	[<Person: u'Lars von Trier' (u'nm0001885')>]	[<Person: u'Willem Dafoe' (u'nm0000353')>, <Person: u'Charlotte Gainsbourg' (u'nm0001250')>, <Person: u'Storm Acheche Sahlstr\xf8m' (u'nm3527143')>]	Antichrist	0	0	0	0	0	feature	0	1	0	5	0	0	[]	1	0	0	6480	0
7.6	0	R	0	[<Person: u'David Lynch' (u'nm0000186')>, <Person: u'Barry Gifford' (u'nm0317510')>]	1997	tt0116922	0	100065	[<Person: u'David Lynch' (u'nm0000186')>]	[<Person: u'Bill Pullman' (u'nm0000597')>, <Person: u'Patricia Arquette' (u'nm0000099')>, <Person: u'John Roselius' (u'nm0741803')>, <Person: u'Louis Eppolito' (u'nm0258388')>]	Lost Highway	0	0	0	0	0	feature	0	0	0	5	1	1	[]	0	0	0	8040	0
7.8	0	PG-13	1	[<Person: u'Eric Roth' (u'nm0744839')>, <Person: u'Eric Roth' (u'nm0744839')>]	2008	tt0421715	0	468042	[<Person: u'David Fincher' (u'nm0000399')>]	[<Person: u'Brad Pitt' (u'nm0000093')>, <Person: u'Cate Blanchett' (u'nm0000949')>, <Person: u'Tilda Swinton' (u'nm0842770')>, <Person: u'Julia Ormond' (u'nm0000566')>]	The Curious Case of Benjamin Button	0	0	1	0	0	feature	0	0	0	11	0	0	[]	1	0	0	9960	0
